Date,User,Type
2010-10-20,36,message_init
2010-10-20,40,response_to
2010-10-20,44,response_to
2010-10-21,3,response_to
2010-10-21,44,response_to
2010-10-21,45,response_to
2010-10-22,3,response_to
2010-10-22,43,response_to
2010-10-23,56,response_to
2010-10-24,43,response_to
2010-10-26,36,message_init
2010-10-27,3,response_to
2010-10-27,36,response_to
2010-10-27,38,response_to
2010-10-27,40,response_to
2010-10-27,43,response_to
2010-10-27,55,message_init
2010-10-27,56,response_to
2010-10-28,36,response_to
2010-10-28,38,response_to
2010-10-28,43,response_to
2010-10-28,44,message_init
2010-10-28,53,response_to
2010-10-28,55,response_to
2010-10-28,58,message_init
2010-10-29,3,response_to
2010-10-29,44,response_to
2010-10-29,46,message_init
2010-10-29,51,message_init
2010-10-29,53,response_to
2010-10-29,61,response_to
2010-10-30,38,response_to
2010-10-30,41,response_to
2010-10-30,43,response_to
2010-10-30,44,response_to
2010-10-30,48,response_to
2010-10-30,57,message_init
2010-10-31,44,response_to
2010-10-31,53,response_to
2010-11-01,36,response_to
2010-11-01,41,response_to
2010-11-01,45,message_init
2010-11-01,48,response_to
2010-11-01,52,response_to
2010-11-01,54,response_to
2010-11-02,3,response_to
2010-11-02,54,response_to
2010-11-02,55,response_to
2010-11-02,59,response_to
2010-11-02,60,response_to
2010-11-02,62,response_to
2010-11-03,3,response_to
2010-11-03,36,response_to
2010-11-03,45,response_to
2010-11-03,48,response_to
2010-11-03,54,response_to
2010-11-04,3,response_to
2010-11-04,36,message_init
2010-11-04,39,message_init
2010-11-04,44,message_init
2010-11-04,45,response_to
2010-11-04,52,response_to
2010-11-04,54,response_to
2010-11-04,55,response_to
2010-11-04,58,response_to
2010-11-05,3,response_to
2010-11-05,36,response_to
2010-11-05,40,response_to
2010-11-05,44,response_to
2010-11-05,51,message_init
2010-11-05,54,response_to
2010-11-05,56,response_to
2010-11-05,57,message_init
2010-11-06,37,response_to
2010-11-06,51,response_to
2010-11-06,54,response_to
2010-11-07,52,response_to
2010-11-07,57,response_to
2010-11-08,3,response_to
2010-11-08,36,response_to
2010-11-08,43,message_init
2010-11-08,49,message_init
2010-11-08,54,response_to
2010-11-08,55,response_to
2010-11-08,56,response_to
2010-11-09,36,response_to
2010-11-09,44,response_to
2010-11-09,49,response_to
2010-11-09,54,message_init
2010-11-09,57,response_to
2010-11-10,3,response_to
2010-11-10,39,message_init
2010-11-11,3,response_to
2010-11-12,43,message_init
2010-11-13,54,response_to
2010-11-13,55,response_to
2010-11-14,36,message_init
2010-11-14,55,response_to
2010-11-15,3,response_to
2010-11-15,43,response_to
2010-11-16,36,response_to
2010-11-16,48,message_init
2010-11-17,48,response_to
2010-11-18,3,response_to
2010-11-18,36,response_to
2010-11-18,52,message_init
2010-11-18,53,response_to
2010-11-19,50,message_init
2010-11-19,51,response_to
2010-11-21,36,response_to
2010-11-21,48,response_to
2010-11-21,50,response_to
