Date,User,Type
2011-11-02,3,created
2011-12-05,3,created
2011-12-05,5,created
2011-12-05,12,created
2011-12-06,7,created
2011-12-06,15,created
2011-12-06,22,created
2011-12-07,2,created
2011-12-07,22,changed
2011-12-08,2,changed
2011-12-08,5,changed
2011-12-08,7,unchanged
2011-12-08,8,created
2011-12-08,9,created
2011-12-09,9,changed
2011-12-09,15,changed
2011-12-09,17,created
2011-12-09,22,changed
2011-12-09,25,created
2011-12-10,26,created
2011-12-11,8,changed
2011-12-11,13,created
2011-12-11,22,changed
2011-12-12,1,created
2011-12-12,10,created
2011-12-12,12,changed
2011-12-12,13,changed
2011-12-12,15,added_to
2011-12-12,17,changed
2011-12-12,22,changed
2011-12-12,25,changed
2011-12-13,5,changed
2011-12-13,11,created
2011-12-13,15,changed
2011-12-13,16,created
2011-12-13,20,created
2011-12-13,21,created
2011-12-13,22,added_to
2011-12-13,25,failed
2011-12-13,34,created
2011-12-13,35,created
2011-12-14,11,changed
2011-12-14,13,changed
2011-12-14,16,changed
2011-12-14,17,changed
2011-12-14,20,changed
2011-12-14,21,changed
2011-12-14,22,changed
2011-12-14,23,created
2011-12-14,24,created
2011-12-14,35,changed
2011-12-15,1,changed
2011-12-15,8,changed
2011-12-15,11,changed
2011-12-15,13,changed
2011-12-15,17,changed
2011-12-15,22,added_to
2011-12-15,24,changed
2011-12-15,25,changed
2011-12-16,2,changed
2011-12-16,11,changed
2011-12-16,17,added_to
2011-12-17,33,created
2011-12-19,15,failed
2011-12-19,16,added_to
2011-12-19,22,created
2011-12-19,38,created
2011-12-20,1,changed
2011-12-20,8,failed
2011-12-20,9,failed
2011-12-20,13,changed
2011-12-20,16,changed
2011-12-20,20,changed
2011-12-20,22,changed
2011-12-20,26,failed
2011-12-20,35,changed
2011-12-21,2,changed
2011-12-21,8,changed
2011-12-21,17,failed
2011-12-21,24,failed
2011-12-21,25,failed
2011-12-22,2,changed
2011-12-22,4,created
2011-12-22,7,created
2011-12-22,11,changed
2011-12-22,52,created
2011-12-23,4,added_to
2011-12-23,12,unchanged
2011-12-23,52,added_to
2011-12-26,4,changed
2011-12-26,17,changed
2011-12-26,52,changed
2011-12-27,1,changed
2011-12-28,1,added_to
2011-12-28,2,failed
2011-12-28,5,failed
2011-12-28,12,unchanged
2011-12-29,1,unchanged
2011-12-29,9,changed
2011-12-29,12,unchanged
2011-12-29,35,changed
2011-12-30,13,changed
2011-12-30,20,failed
2011-12-30,26,changed
2011-12-30,34,added_to
2011-12-31,2,failed
2012-01-02,1,failed
2012-01-02,10,created
2012-01-02,12,failed
2012-01-03,4,changed
2012-01-03,8,failed
2012-01-03,10,unchanged
2012-01-03,13,failed
2012-01-03,17,failed
2012-01-03,21,changed
2012-01-03,24,changed
2012-01-03,25,failed
2012-01-03,35,failed
2012-01-03,52,changed
2012-01-04,2,failed
2012-01-04,9,failed
2012-01-04,10,unchanged
2012-01-04,17,changed
2012-01-04,21,changed
2012-01-04,24,changed
2012-01-05,5,changed
2012-01-05,10,changed
2012-01-05,22,failed
2012-01-06,5,changed
2012-01-06,24,changed
2012-01-07,13,changed
2012-01-07,20,unchanged
2012-01-07,23,created
2012-01-07,25,changed
2012-01-07,26,failed
2012-01-08,2,changed
2012-01-08,10,failed
2012-01-08,12,failed
2012-01-08,15,changed
2012-01-09,1,changed
2012-01-09,4,added_to
2012-01-09,10,changed
2012-01-09,17,added_to
2012-01-09,20,added_to
2012-01-09,21,changed
2012-01-09,22,failed
2012-01-09,23,added_to
2012-01-09,24,changed
2012-01-09,52,added_to
2012-01-10,2,changed
2012-01-10,8,changed
2012-01-10,15,changed
2012-01-10,22,added_to
2012-01-10,23,added_to
2012-01-10,24,failed
2012-01-11,1,changed
2012-01-11,8,changed
2012-01-11,22,changed
2012-01-11,35,changed
2012-01-12,1,failed
2012-01-12,4,added_to
2012-01-12,5,added_to
2012-01-12,8,changed
2012-01-12,9,changed
2012-01-12,10,failed
2012-01-12,15,changed
2012-01-12,52,added_to
2012-01-13,1,changed
2012-01-13,2,added_to
2012-01-13,4,unchanged
2012-01-13,9,changed
2012-01-13,11,added_to
2012-01-13,20,unchanged
2012-01-13,26,changed
2012-01-13,52,unchanged
2012-01-14,4,unchanged
2012-01-14,10,failed
2012-01-14,52,unchanged
2012-01-15,10,failed
2012-01-16,20,changed
2012-01-16,34,added_to
2012-01-17,2,changed
2012-01-17,9,changed
2012-01-17,13,changed
2012-01-17,20,added_to
2012-01-17,26,changed
2012-01-18,1,added_to
2012-01-18,9,added_to
2012-01-18,13,added_to
2012-01-18,17,failed
2012-01-20,4,added_to
2012-01-20,52,added_to
2012-01-22,6,created
2012-01-22,10,failed
2012-01-23,10,added_to
2012-01-24,6,failed
2012-01-24,10,failed
2012-01-29,10,failed
2012-01-30,10,failed
2012-01-31,13,changed
2012-12-04,27,created
2012-12-05,27,changed
2012-12-06,16,created
2012-12-08,16,unchanged
2012-12-13,14,created
2012-12-17,14,added_to
2012-12-17,27,added_to
2012-12-19,16,changed
2012-12-20,16,added_to
2012-12-21,27,added_to
2012-12-29,27,added_to
2013-01-02,16,changed
2013-01-04,16,added_to
2013-01-04,27,added_to
